Strategy Report
===============

Source sheet: xau-long-bot.xlsx
Total positions: 120

Single Test Performance
-----------------------
Condition  Total Trades  Max Drawdown %  Profit Factor  Win Rate %  Net Profit %  Sharpe Ratio  Sortino Ratio  Tags      
---------  ------------  --------------  -------------  ----------  ------------  ------------  -------------  ----------
1                    18         -14.98%            nan    100.000%       34.470%         0.063          0.252  NORMAL    
2                    11         -14.60%            nan    100.000%       20.920%        -0.147         -0.390  OVERFIT   
3                    17          -5.37%            nan    100.000%       32.400%        -0.029         -0.091  NORMAL    
4                    91         -26.76%          10.75     85.710%      333.820%         0.447          4.771  GOOD      
5                    90         -24.90%          32.08     94.440%      445.120%         0.331          5.120  GOOD      
6                    74         -48.94%          12.94     95.950%      313.620%         0.261          3.916  RISK, GOOD
---------  ------------  --------------  -------------  ----------  ------------  ------------  -------------  ----------
TOTAL               301         -48.94%          18.59     96.017%     1180.350%         0.154          2.263            

Conditions
----------
Condition  Triggers  Entry triggers  DCA triggers  Entry trigger MDD %  DCA trigger MDD %  Max drawdown %  Win rate (%)
---------  --------  --------------  ------------  -------------------  -----------------  --------------  ------------
1                13              11             2             -10.105%           -10.105%        -10.105%       92.308%
2                 7               7             0             -17.293%            -0.907%        -17.293%       85.714%
3                 9               9             0              -6.307%            -5.639%         -6.307%      100.000%
4                61              49            12             -34.031%           -23.544%        -34.031%       85.246%
5                79              38            41             -30.415%           -25.794%        -30.415%       93.671%
6                46              15            31             -13.511%           -34.031%        -34.031%       93.478%
dca1              1               0             1             -22.452%           -22.452%        -22.452%      100.000%
                200             120            80             -34.031%           -34.031%        -34.031%       91.000%

Positions
---------
Date/Time            Orders      DD %  Step                Size %             Trade #              
2024-07-11 12:28:00       3  -10.387%  4 - 4 - 4           20 - 15 - 25       185 - 186 - 187      
2015-10-14 07:20:00       4  -10.105%  5 - 5 - 1 - 4       20 - 15 - 25 - 40  61 - 62 - 63 - 64    
2018-08-28 13:52:00       4   -9.806%  1 - 5 - 5 - 4 5     20 - 15 - 40 - 3   100 - 101 - 102 - 103
2019-07-18 18:46:00       3   -9.100%  4 5 6 - 6 - 6       20 - 15 - 40       115 - 116 - 117      
2023-03-15 12:42:00       2   -8.600%  4 - 5               20 - 15            163 - 164            
2017-08-09 18:32:00       2   -8.191%  4 - 4               20 - 15            88 - 89              
2024-03-07 03:54:00       2   -8.005%  1 - 1               20 - 15            179 - 180            
2019-03-19 12:56:00       4   -7.867%  5 - 5 - 5 - 5       20 - 15 - 25 - 40  107 - 108 - 109 - 110
2025-06-13 01:16:00       1   -7.459%  4                   20                 193                  
2014-11-18 09:58:00       4   -7.303%  5 - 6 - 6 - 6       20 - 15 - 40 - 3   52 - 53 - 54 - 55    
2011-10-12 09:26:00       1   -7.135%  5                   20                 13                   
2022-11-11 05:04:00       1   -6.661%  5                   20                 160                  
2011-07-06 12:56:00       3   -6.307%  3 - 5 - 5           20 - 15 - 40       9 - 10 - 11          
2020-01-26 23:00:00       3   -5.773%  6 - 6 - 6           20 - 15 - 40       124 - 125 - 126      
2010-02-17 12:46:00       1   -5.639%  3                   20                 4                    
2022-08-02 00:20:00       2   -5.248%  3 - 4               20 - 15            158 - 159            
2009-11-03 15:34:00       2   -4.676%  6 - 6               20 - 15            2 - 3                
2021-12-31 13:00:00       2   -4.657%  5 - 5               20 - 15            152 - 153            
2024-10-18 01:30:00       2   -4.538%  6 - 6               20 - 15            189 - 190            
2013-09-19 07:06:00       2   -4.516%  5 - 5               20 - 15            40 - 41              
2013-08-15 17:08:00       1   -4.442%  4                   20                 39                   
2010-11-08 17:12:00       1   -4.398%  4                   20                 6                    
2023-04-04 14:06:00       2   -4.319%  4 - 6               20 - 15            166 - 167            
2012-08-21 12:28:00       1   -3.508%  4                   20                 22                   
2022-03-06 23:00:00       1   -3.503%  2                   20                 155                  
2012-10-04 12:14:00       2   -3.267%  6 - 6               20 - 15            24 - 25              
2023-01-03 07:24:00       1   -2.820%  2                   20                 161                  
2023-05-03 22:00:00       1   -2.560%  4                   20                 168                  
2016-09-06 17:22:00       1   -2.325%  1                   20                 78                   
2024-12-11 01:20:00       1   -2.290%  4                   20                 191                  
2025-10-14 01:02:00       1   -2.289%  1                   20                 200                  
2023-01-12 12:18:00       1   -2.208%  1                   20                 162                  
2021-01-21 02:44:00       1   -2.104%  5                   20                 144                  
2013-05-30 06:10:00       1   -2.063%  4                   20                 34                   
2017-05-16 23:24:00       3   -2.028%  5 - 6 - 6           20 - 15 - 40       85 - 86 - 87         
2025-09-23 01:02:00       1   -1.914%  6                   20                 198                  
2020-01-07 23:42:00       2   -1.813%  4 5 6 - 5 6         20 - 15            122 - 123            
2019-02-20 01:06:00       1   -1.801%  5                   20                 106                  
2013-04-09 14:34:00       1   -1.767%  4                   20                 29                   
2025-07-21 12:14:00       1   -1.692%  4                   20                 195                  
2018-04-11 14:48:00       1   -1.582%  4                   20                 98                   
2014-12-09 15:06:00       1   -1.576%  4                   20                 56                   
2024-05-17 13:10:00       1   -1.504%  4                   20                 184                  
2022-02-09 13:00:00       1   -1.495%  3                   20                 154                  
2025-09-30 00:48:00       1   -1.417%  4                   20                 199                  
2010-10-13 13:52:00       1   -1.348%  4                   20                 5                    
2014-02-26 05:46:00       1   -1.324%  5                   20                 46                   
2018-01-15 02:02:00       1   -1.164%  6                   20                 96                   
2023-06-02 01:58:00       1   -1.147%  4                   20                 169                  
2021-05-17 05:28:00       1   -1.131%  4                   20                 145                  
2011-11-30 00:10:00       1   -1.115%  5                   20                 14                   
2017-03-16 05:28:00       1   -1.108%  3                   20                 83                   
2017-08-18 12:56:00       1   -1.091%  4                   20                 90                   
2024-03-20 22:00:00       2   -1.044%  5 6 - 6             20 - 15            181 - 182            
2011-12-20 16:02:00       1   -1.024%  5                   20                 15                   
2017-04-11 14:48:00       1   -0.987%  4                   20                 84                   
2012-09-13 16:54:00       1   -0.968%  4                   20                 23                   
2025-02-05 00:24:00       1   -0.953%  2                   20                 192                  
2025-09-16 08:02:00       1   -0.948%  6                   20                 197                  
2019-06-14 06:24:00       1   -0.919%  5                   20                 113                  
2025-09-08 07:06:00       1   -0.911%  5                   20                 196                  
2009-10-05 16:40:00       1   -0.907%  2                   20                 1                    
2013-01-02 03:54:00       1   -0.882%  5                   20                 27                   
2011-01-12 07:52:00       1   -0.882%  4                   20                 7                    
2016-02-11 10:12:00       1   -0.864%  1                   20                 69                   
2023-10-27 18:04:00       1   -0.852%  6                   20                 177                  
2023-10-18 12:14:00       1   -0.805%  5                   20                 175                  
2023-10-20 13:52:00       1   -0.784%  5                   20                 176                  
2012-11-06 17:12:00       1   -0.775%  3                   20                 26                   
2025-07-01 05:14:00       1   -0.759%  3                   20                 194                  
2022-03-23 19:14:00       1   -0.715%  4                   20                 156                  
2018-06-14 12:14:00       1   -0.701%  4                   20                 99                   
2013-02-25 08:20:00       1   -0.686%  5                   20                 28                   
2019-10-02 13:10:00       1   -0.621%  5                   20                 119                  
2019-06-24 18:46:00       1   -0.599%  4 5                 20                 114                  
2018-12-04 09:30:00       1   -0.569%  4                   20                 105                  
2020-08-04 19:28:00       1   -0.558%  6                   20                 135                  
2014-07-01 01:02:00       1   -0.555%  2                   20                 51                   
2021-05-25 13:52:00       1   -0.542%  4                   20                 146                  
2019-04-09 12:14:00       1   -0.531%  4                   20                 111                  
2023-12-01 18:22:00       1   -0.464%  1                   20                 178                  
2012-03-08 09:30:00       1   -0.415%  5                   20                 16                   
2011-07-11 11:32:00       1   -0.377%  4                   20                 12                   
2020-07-31 06:52:00       1   -0.369%  5 6                 20                 134                  
2019-08-13 05:56:00       1   -0.347%  4                   20                 118                  
2020-07-23 08:30:00       1   -0.292%  4                   20                 131                  
2020-01-05 23:00:00       1   -0.256%  1                   20                 121                  
2011-03-31 10:50:00       1   -0.225%  3                   20                 8                    
2023-10-15 22:00:00       1   -0.211%  2                   20                 174                  
2020-01-03 01:48:00       1   -0.210%  5                   20                 120                  
2024-05-06 12:42:00       1   -0.208%  4                   20                 183                  
2023-03-20 07:20:00       1   -0.207%  1                   20                 165                  
2020-02-23 23:00:00       1   -0.203%  1                   20                 127                  
2018-01-04 19:32:00       1   -0.194%  1                   20                 95                   
2012-07-03 13:10:00       1   -0.179%  4                   20                 21                   
2019-06-05 06:24:00       1   -0.172%  4 5                 20                 112                  
2020-05-08 09:12:00       1   -0.167%  4                   20                 130                  
2021-08-11 16:54:00       1   -0.166%  3                   20                 151                  
2022-05-04 18:46:00       1   -0.165%  4                   20                 157                  
2020-07-28 01:16:00       1   -0.156%  5                   20                 133                  
2018-10-23 08:16:00       1   -0.145%  4                   20                 104                  
2018-04-02 17:08:00       1   -0.139%  4                   20                 97                   
2020-07-27 02:12:00       1   -0.121%  5                   20                 132                  
2024-07-24 13:38:00       1   -0.116%  4                   20                 188                  
